Beauty Compare — 시술 마스터 리스트 (대분류 · 중분류 · 시술명),,,,,,,
대분류,중분류,시술명 (KO),표준명 (EN),원리 / 성분,부위 태그,비고,다운타임
리프팅,레이저 리프팅,울쎄라,HIFU Lifting,집속 초음파 · SMAS층,전체얼굴,,
,,울쎄라 프라임,HIFU Lifting,집속 초음파 · SMAS층,전체얼굴,,
,,슈링크,HIFU Lifting,집속 초음파 · SMAS층,전체얼굴,,
,,슈링크 유니버스,HIFU Lifting,집속 초음파 · SMAS층,전체얼굴,,
,,리프테라,HIFU Lifting,집속 초음파 · SMAS층,전체얼굴,,
,,쿨소닉,HIFU Lifting,집속 초음파 + 쿨링,전체얼굴,,
,,아이슈링크,HIFU Lifting,집속 초음파 · SMAS층,눈,눈 부위 특화,
,,소프웨이브,Parallel Beam Ultrasound,평행 초음파 · 진피 1.5mm,전체얼굴,,
,,써마지 FLX,RF Lifting,모노폴라 RF · 진피 콜라겐,전체얼굴,,
,,올리지오,RF Lifting,모노폴라 RF · 진피 콜라겐,전체얼굴,,
,,튠페이스,RF Lifting,양극성 RF,전체얼굴,,
,,볼뉴머,RF Lifting,모노폴라 RF · K써마지,전체얼굴,,
,,인모드 FORMA,RF Lifting,RF · 진피 콜라겐 재생,전체얼굴,,
,,아이써마지,RF Lifting,모노폴라 RF,눈,눈 부위 특화,
,,아이볼뉴머,RF Lifting,모노폴라 RF,눈,눈 부위 특화,
,,아이올리지오,RF Lifting,모노폴라 RF,눈,눈 부위 특화,
,,인모드 FX,Multi-Mode Lifting,RF + HVP · 지방파괴,전체얼굴,,
,,인모드 FX+FORMA,Multi-Mode Lifting,RF + HVP · 지방+탄력 복합,전체얼굴,,
,,온다,Microwave Lifting,극초단파 · 진피+지방,전체얼굴,,
,,티타늄 리프팅,Laser Lifting,다이오드 3파장(755/810/1064nm),전체얼굴,,
,,덴서티,RF Lifting,모노폴라+바이폴라 RF,전체얼굴,,
,실 리프팅,실 리프팅,Thread Lift,물리적 견인 + 콜라겐 유도 · PDO/PLLA/PCL,전체얼굴,민트리프트 · 노바리프트 · 스프링실 · 해피리프트 등,
,,잼버 (눈밑),Thread Lift,녹는 실 · 눈밑 특화,눈밑,눈밑 처짐·다크서클 개선,
,,잼버 (팔자),Thread Lift,녹는 실 · 팔자 특화,팔자,팔자주름 개선,
필러,얼굴 필러,팔자 필러,Dermal Filler,HA · 볼륨 충전,팔자,,
,,입술 필러,Dermal Filler,HA · 볼륨 충전,입술,,
,,코 필러,Dermal Filler,HA · 볼륨 충전,코,,
,,턱끝 필러,Dermal Filler,HA · 볼륨 충전,턱끝,,
,,볼 필러,Dermal Filler,HA · 볼륨 충전,볼,,
,,이마 필러,Dermal Filler,HA · 볼륨 충전,이마,,
,,관자 필러,Dermal Filler,HA · 볼륨 충전,관자,,
,,마리오네트 필러,Dermal Filler,HA · 볼륨 충전,마리오네트,,
,,목주름 필러,Dermal Filler,HA · 볼륨 충전,목,,
