ykiho,yadmNm,clCdNm,addr,telno,XPos,YPos,estbDd,sidoCdNm,sgguCd,sgguCdNm,emdongNm,postNo
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz,(사)한국한센복지협회서울특별시지부부설의원,의원,"서울특별시 동작구 상도로 170, 2층 (상도동)",02-812-1894,126.9380530,37.5040794,19860109,서울,110008,동작구,상도동,06956
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz,(스카이메디)연세건강증진내과의원,의원,"서울특별시 송파구 송파대로 371, 2층,3층,4층 (석촌동)",02-418-9999,127.1107656,37.5007984,19820427,서울,110018,송파구,석촌동,05697
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz,(의) 열린의료재단 동대문열린의원,의원,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",02-924-0875,127.0148389,37.5731060,20080610,서울,110016,종로구,창신동,03104
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNzEjJDEjJDgjJDgz,(의) 열린의료재단 상봉열린의원,의원,"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",02-435-0875,127.0859888,37.5959148,20040308,서울,110019,중랑구,상봉동,02148
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,(의) 열린의료재단 영등포열린의원,의원,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",02-2676-0832,126.9060600,37.5165276,20010901,서울,110013,영등포구,영등포동4가,07305
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz,(의)미래의료재단리드림의원,의원,"서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",02-540-0001,127.0588976,37.5079982,20000712,서울,110001,강남구,삼성동,06169
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,(의)성광의료재단 차움의원,의원,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",02-3015-5000,127.0441055,37.5233218,20100520,서울,110001,강남구,청담동,06062
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ4OSQyNjEyMjIjNTEjJDEjJDIjJDgz,(재)이랜드재단 이랜드의원,의원,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 401~402호 (가산동)",2635-8668,126.8815811,37.4819131,20080117,서울,110025,금천구,가산동,08502
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz,(재)천주교서울대교구유지재단 전진상의원,의원,"서울특별시 금천구 탑골로3가길 22, 전진상사회복지관 (시흥동)",02-802-9311,126.9107378,37.4525764,19910926,서울,110025,금천구,시흥동,08574
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQyIyQzIyQwMCQyNjE4MzIjNDEjJDEjJDQjJDgz,(주)제이시스메디칼부속의원,의원,"서울특별시 강남구 강남대로 566, 신영와코루빌딩 1층 일부 (논현동)",,127.0211992,37.5125495,20230601,서울,110001,강남구,논현동,06044
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,10년전당신의오늘의원,의원,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",02-541-0333,127.0457468,37.5236241,20210827,서울,110001,강남구,청담동,06062
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,111의원,의원,"서울특별시 강남구 도산대로 111, (신사동, S-TOWER 11~12층)",02-540-8111,127.0207080,37.5169652,20151119,서울,110001,강남구,신사동,06035
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDQjJDgz,123의원,의원,"서울특별시 강남구 삼성로 212, 241호 (대치동, 은마상가 B블럭)",02-567-9123,127.0650701,37.4977415,20081017,서울,110001,강남구,대치동,06284
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQyIyQzIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,1삼성탑의원,의원,"서울특별시 성동구 고산자로 255, 5층 (도선동, 케이-타워)",02-2299-8875,127.0357246,37.5626006,20091104,서울,110011,성동구,도선동,04709
